16:38:40.531 [main] DEBUG org.jboss.logging logProvider - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
16:38:40.593 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider getEntityManagerFactoryBuilderOrNull - Located and parsed 2 persistence units; checking each
16:38:40.593 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider getEntityManagerFactoryBuilderOrNull - Checking persistence-unit [name=ejemploHibernate, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [ConexionOracleHibernate]
16:38:40.594 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider getEntityManagerFactoryBuilderOrNull - Excluding from consideration due to name mis-match
16:38:40.594 [main] DEBUG org.hibernate.jpa.HibernatePersistenceProvider getEntityManagerFactoryBuilderOrNull - Checking persistence-unit [name=ConexionOracleHibernate, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [ConexionOracleHibernate]
16:38:40.595 [main] DEBUG org.hibernate.jpa.boot.spi.ProviderChecker extractRequestedProviderName - Persistence-unit [ConexionOracleHibernate] requested PersistenceProvider [org.hibernate.jpa.HibernatePersistenceProvider]
16:38:40.598 [main] DEBUG org.hibernate.jpa.internal.util.LogHelper logPersistenceUnitInformation - PersistenceUnitInfo [
	name: ConexionOracleHibernate
	persistence provider classname: org.hibernate.jpa.HibernatePersistenceProvider
	classloader: null
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/D:/WorkSpace/ProyectoFinalRo/target/classes/
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names [
		es.curso.java.proyectofinal.entities.UsuariosProFinal]
	Mapping files names []
	Properties [
		jakarta.persistence.jdbc.password: password
		hibernate.dialect: org.hibernate.dialect.Oracle10gDialect
		hibernate.show_sql: true
		jakarta.persistence.jdbc.url: jdbc:oracle:thin:@localhost:1521:XE
		jakarta.persistence.jdbc.driver: oracle.jdbc.driver.OracleDriver
		hibernate.hbm2ddl.auto: update
		jakarta.persistence.jdbc.user: curso]
16:38:40.604 [main] DEBUG org.hibernate.integrator.internal.IntegratorServiceImpl addIntegrator - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
16:38:40.606 [main] DEBUG org.hibernate.integrator.internal.IntegratorServiceImpl addIntegrator - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
16:38:40.608 [main] DEBUG org.hibernate.integrator.internal.IntegratorServiceImpl addIntegrator - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
16:38:40.634 [main] INFO  org.hibernate.Version logVersion - HHH000412: Hibernate ORM core version 5.6.12.Final
16:38:40.635 [main] DEBUG org.hibernate.cfg.Environment <clinit> - HHH000206: hibernate.properties not found
16:38:40.736 [main] DEBUG org.hibernate.service.spi.ServiceBinding setService - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
16:38:40.744 [main] DEBUG org.hibernate.cache.internal.RegionFactoryInitiator resolveRegionFactory - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
16:38:40.745 [main] DEBUG org.hibernate.cache.internal.RegionFactoryInitiator initiateService - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
16:38:40.759 [main] INFO  org.hibernate.annotations.common.Version <clinit> - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
16:38:40.815 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration boolean -> org.hibernate.type.BooleanType@3b4ef7
16:38:40.815 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration boolean -> org.hibernate.type.BooleanType@3b4ef7
16:38:40.815 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3b4ef7
16:38:40.816 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5bbbdd4b
16:38:40.816 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4a8b5227
16:38:40.816 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration yes_no -> org.hibernate.type.YesNoType@4a67318f
16:38:40.817 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration byte -> org.hibernate.type.ByteType@50cf5a23
16:38:40.818 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration byte -> org.hibernate.type.ByteType@50cf5a23
16:38:40.818 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@50cf5a23
16:38:40.819 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration character -> org.hibernate.type.CharacterType@3b582111
16:38:40.819 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration char -> org.hibernate.type.CharacterType@3b582111
16:38:40.819 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3b582111
16:38:40.820 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration short -> org.hibernate.type.ShortType@12365c88
16:38:40.820 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration short -> org.hibernate.type.ShortType@12365c88
16:38:40.820 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@12365c88
16:38:40.821 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration integer -> org.hibernate.type.IntegerType@64d7b720
16:38:40.821 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration int -> org.hibernate.type.IntegerType@64d7b720
16:38:40.821 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@64d7b720
16:38:40.822 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration long -> org.hibernate.type.LongType@251ebf23
16:38:40.822 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration long -> org.hibernate.type.LongType@251ebf23
16:38:40.822 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Long -> org.hibernate.type.LongType@251ebf23
16:38:40.822 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration float -> org.hibernate.type.FloatType@62df0ff3
16:38:40.823 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration float -> org.hibernate.type.FloatType@62df0ff3
16:38:40.823 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@62df0ff3
16:38:40.824 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration double -> org.hibernate.type.DoubleType@4c5204af
16:38:40.824 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration double -> org.hibernate.type.DoubleType@4c5204af
16:38:40.824 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4c5204af
16:38:40.824 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@71b1a49c
16:38:40.825 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@71b1a49c
16:38:40.825 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3b809711
16:38:40.826 [main] DEBUG org.hibernate.type.BasicTypeRegistry register - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3b809711
